,Found,Truth
human2_lib2.final_cell_0171,0,alpha
human2_lib1.final_cell_0017,0,beta
human2_lib1.final_cell_0054,0,beta
human2_lib1.final_cell_0056,0,beta
human2_lib1.final_cell_0057,0,beta
human2_lib1.final_cell_0058,0,beta
human2_lib1.final_cell_0063,0,beta
human2_lib1.final_cell_0068,0,beta
human2_lib1.final_cell_0073,0,beta
human2_lib1.final_cell_0076,0,beta
human2_lib1.final_cell_0080,0,beta
human2_lib1.final_cell_0090,0,beta
human2_lib1.final_cell_0092,0,beta
human2_lib1.final_cell_0100,0,beta
human2_lib1.final_cell_0101,0,beta
human2_lib1.final_cell_0105,0,beta
human2_lib1.final_cell_0107,0,beta
human2_lib1.final_cell_0111,0,beta
human2_lib1.final_cell_0115,0,beta
human2_lib1.final_cell_0119,0,beta
human2_lib1.final_cell_0124,0,beta
human2_lib1.final_cell_0126,0,beta
human2_lib1.final_cell_0128,0,beta
human2_lib1.final_cell_0137,0,beta
human2_lib1.final_cell_0139,0,beta
human2_lib1.final_cell_0141,0,beta
human2_lib1.final_cell_0145,0,beta
human2_lib1.final_cell_0150,0,beta
human2_lib1.final_cell_0182,0,beta
human2_lib1.final_cell_0183,0,beta
human2_lib1.final_cell_0187,0,beta
human2_lib1.final_cell_0195,0,beta
human2_lib1.final_cell_0196,0,beta
human2_lib1.final_cell_0198,0,beta
human2_lib1.final_cell_0201,0,beta
human2_lib1.final_cell_0204,0,beta
human2_lib1.final_cell_0206,0,beta
human2_lib1.final_cell_0215,0,beta
human2_lib1.final_cell_0219,0,beta
human2_lib1.final_cell_0223,0,beta
human2_lib1.final_cell_0224,0,beta
human2_lib1.final_cell_0227,0,beta
human2_lib1.final_cell_0231,0,beta
human2_lib1.final_cell_0233,0,beta
human2_lib1.final_cell_0236,0,beta
human2_lib1.final_cell_0237,0,beta
human2_lib1.final_cell_0242,0,beta
human2_lib1.final_cell_0249,0,beta
human2_lib1.final_cell_0252,0,beta
human2_lib1.final_cell_0254,0,beta
human2_lib1.final_cell_0255,0,beta
human2_lib1.final_cell_0259,0,beta
human2_lib1.final_cell_0260,0,beta
human2_lib1.final_cell_0262,0,beta
human2_lib1.final_cell_0270,0,beta
human2_lib1.final_cell_0273,0,beta
human2_lib1.final_cell_0274,0,beta
human2_lib1.final_cell_0280,0,beta
human2_lib1.final_cell_0282,0,beta
human2_lib1.final_cell_0285,0,beta
human2_lib1.final_cell_0288,0,beta
human2_lib1.final_cell_0290,0,beta
human2_lib1.final_cell_0291,0,beta
