,Cell,assigned_cluster
0,human3_lib1.final_cell_0001,acinar
1,human3_lib1.final_cell_0002,acinar
2,human3_lib1.final_cell_0003,acinar
3,human3_lib1.final_cell_0004,acinar
4,human3_lib1.final_cell_0005,acinar
5,human3_lib1.final_cell_0006,acinar
6,human3_lib1.final_cell_0007,acinar
7,human3_lib1.final_cell_0008,acinar
8,human3_lib1.final_cell_0009,acinar
9,human3_lib1.final_cell_0010,acinar
10,human3_lib1.final_cell_0011,acinar
11,human3_lib1.final_cell_0012,acinar
12,human3_lib1.final_cell_0013,acinar
13,human3_lib1.final_cell_0014,acinar
14,human3_lib1.final_cell_0015,acinar
15,human3_lib1.final_cell_0016,acinar
16,human3_lib1.final_cell_0017,acinar
17,human3_lib1.final_cell_0018,acinar
18,human3_lib1.final_cell_0019,acinar
19,human3_lib1.final_cell_0020,acinar
20,human3_lib1.final_cell_0021,acinar
21,human3_lib1.final_cell_0022,acinar
22,human3_lib1.final_cell_0023,acinar
23,human3_lib1.final_cell_0024,acinar
24,human3_lib1.final_cell_0025,acinar
25,human3_lib1.final_cell_0026,acinar
26,human3_lib1.final_cell_0027,acinar
27,human3_lib1.final_cell_0028,delta
28,human3_lib1.final_cell_0029,acinar
29,human3_lib1.final_cell_0030,delta
30,human3_lib1.final_cell_0031,acinar
31,human3_lib1.final_cell_0032,acinar
32,human3_lib1.final_cell_0033,acinar
33,human3_lib1.final_cell_0034,acinar
34,human3_lib1.final_cell_0035,acinar
35,human3_lib1.final_cell_0036,acinar
36,human3_lib1.final_cell_0037,acinar
37,human3_lib1.final_cell_0038,acinar
38,human3_lib1.final_cell_0039,delta
39,human3_lib1.final_cell_0040,acinar
40,human3_lib1.final_cell_0041,acinar
41,human3_lib1.final_cell_0042,acinar
42,human3_lib1.final_cell_0043,acinar
43,human3_lib1.final_cell_0044,acinar
44,human3_lib1.final_cell_0045,acinar
45,human3_lib1.final_cell_0046,acinar
46,human3_lib1.final_cell_0047,acinar
47,human3_lib1.final_cell_0048,ductal
48,human3_lib1.final_cell_0049,acinar
49,human3_lib1.final_cell_0050,acinar
50,human3_lib1.final_cell_0051,acinar
51,human3_lib1.final_cell_0052,acinar
52,human3_lib1.final_cell_0053,acinar
53,human3_lib1.final_cell_0054,acinar
54,human3_lib1.final_cell_0055,acinar
55,human3_lib1.final_cell_0056,alpha
56,human3_lib1.final_cell_0057,acinar
57,human3_lib1.final_cell_0058,acinar
58,human3_lib1.final_cell_0059,acinar
59,human3_lib1.final_cell_0060,acinar
60,human3_lib1.final_cell_0061,acinar
61,human3_lib1.final_cell_0062,acinar
62,human3_lib1.final_cell_0063,acinar
63,human3_lib1.final_cell_0064,beta
64,human3_lib1.final_cell_0065,ductal
65,human3_lib1.final_cell_0066,acinar
66,human3_lib1.final_cell_0067,acinar
