,Found,Truth
human3_lib1.final_cell_0001,0,acinar
human3_lib1.final_cell_0002,0,acinar
human3_lib1.final_cell_0003,0,acinar
human3_lib1.final_cell_0004,0,acinar
human3_lib1.final_cell_0005,0,acinar
human3_lib1.final_cell_0006,0,acinar
human3_lib1.final_cell_0007,0,acinar
human3_lib1.final_cell_0008,0,acinar
human3_lib1.final_cell_0009,0,acinar
human3_lib1.final_cell_0010,0,acinar
human3_lib1.final_cell_0011,0,acinar
human3_lib1.final_cell_0012,0,acinar
human3_lib1.final_cell_0013,0,acinar
human3_lib1.final_cell_0014,0,acinar
human3_lib1.final_cell_0015,0,acinar
human3_lib1.final_cell_0016,0,acinar
human3_lib1.final_cell_0017,0,acinar
human3_lib1.final_cell_0018,0,acinar
human3_lib1.final_cell_0019,0,acinar
human3_lib1.final_cell_0020,0,acinar
human3_lib1.final_cell_0021,0,acinar
human3_lib1.final_cell_0022,0,acinar
human3_lib1.final_cell_0023,0,acinar
human3_lib1.final_cell_0024,0,acinar
human3_lib1.final_cell_0025,0,acinar
human3_lib1.final_cell_0026,0,acinar
human3_lib1.final_cell_0027,0,acinar
human3_lib1.final_cell_0029,0,acinar
human3_lib1.final_cell_0031,0,acinar
human3_lib1.final_cell_0032,0,acinar
human3_lib1.final_cell_0033,0,acinar
human3_lib1.final_cell_0034,0,acinar
human3_lib1.final_cell_0035,0,acinar
human3_lib1.final_cell_0036,0,acinar
human3_lib1.final_cell_0037,0,acinar
human3_lib1.final_cell_0038,0,acinar
human3_lib1.final_cell_0040,0,acinar
human3_lib1.final_cell_0041,0,acinar
human3_lib1.final_cell_0042,0,acinar
human3_lib1.final_cell_0043,0,acinar
human3_lib1.final_cell_0044,0,acinar
human3_lib1.final_cell_0045,0,acinar
human3_lib1.final_cell_0046,0,acinar
human3_lib1.final_cell_0047,0,acinar
human3_lib1.final_cell_0049,0,acinar
human3_lib1.final_cell_0050,0,acinar
human3_lib1.final_cell_0051,0,acinar
human3_lib1.final_cell_0052,0,acinar
human3_lib1.final_cell_0053,0,acinar
human3_lib1.final_cell_0054,0,acinar
human3_lib1.final_cell_0055,0,acinar
human3_lib1.final_cell_0057,0,acinar
human3_lib1.final_cell_0058,0,acinar
human3_lib1.final_cell_0059,0,acinar
human3_lib1.final_cell_0060,0,acinar
human3_lib1.final_cell_0061,0,acinar
human3_lib1.final_cell_0062,0,acinar
human3_lib1.final_cell_0063,0,acinar
human3_lib1.final_cell_0066,0,acinar
human3_lib1.final_cell_0067,0,acinar
human3_lib1.final_cell_0069,0,acinar
human3_lib1.final_cell_0070,0,acinar
human3_lib1.final_cell_0072,0,acinar
human3_lib1.final_cell_0073,0,acinar
human3_lib1.final_cell_0074,0,acinar
human3_lib1.final_cell_0076,0,acinar
human3_lib1.final_cell_0077,0,acinar
human3_lib1.final_cell_0078,0,acinar
human3_lib1.final_cell_0079,0,acinar
human3_lib1.final_cell_0080,0,acinar
human3_lib1.final_cell_0082,0,acinar
human3_lib1.final_cell_0084,0,acinar
human3_lib1.final_cell_0085,0,acinar
human3_lib1.final_cell_0086,0,acinar
human3_lib1.final_cell_0087,0,acinar
human3_lib1.final_cell_0089,0,acinar
human3_lib1.final_cell_0090,0,acinar
human3_lib1.final_cell_0092,0,acinar
human3_lib1.final_cell_0093,0,acinar
human3_lib1.final_cell_0094,0,acinar
human3_lib1.final_cell_0095,0,acinar
human3_lib1.final_cell_0096,0,acinar
human3_lib1.final_cell_0097,0,acinar
human3_lib1.final_cell_0098,0,acinar
human3_lib1.final_cell_0101,0,acinar
human3_lib1.final_cell_0105,0,acinar
human3_lib1.final_cell_0107,0,acinar
human3_lib1.final_cell_0108,0,acinar
human3_lib1.final_cell_0109,0,acinar
human3_lib1.final_cell_0112,0,acinar
human3_lib1.final_cell_0113,0,acinar
human3_lib1.final_cell_0116,0,acinar
human3_lib1.final_cell_0117,0,acinar
human3_lib1.final_cell_0119,0,acinar
human3_lib1.final_cell_0120,0,acinar
human3_lib1.final_cell_0121,0,acinar
human3_lib1.final_cell_0123,0,acinar
human3_lib1.final_cell_0124,0,acinar
human3_lib1.final_cell_0125,0,acinar
human3_lib1.final_cell_0131,0,acinar
human3_lib1.final_cell_0138,0,acinar
human3_lib1.final_cell_0146,0,acinar
human3_lib1.final_cell_0150,0,acinar
human3_lib1.final_cell_0155,0,acinar
human3_lib1.final_cell_0158,0,acinar
